times
6.0
8.0
7.0
7.0
4.0
4.0
5.0
6.0
4.0
6.0
7.0
4.0
5.0
6.0
7.0
3.0
8.0
4.0
1.0
6.0
5.0
5.0
7.0
9.0
6.0
5.0
2.0
5.0
4.0
9.0
6.0
4.0
6.0
6.0
6.0
7.0
2.0
5.0
4.0
5.0
5.0
5.0
7.0
5.0
7.0
3.0
2.0
4.0
7.0
5.0
