时间,尾部烟道进口烟气温度,炉尾部烟道出口烟气温度,炉膛出口O2浓度1,炉膛出口O2浓度2,CO的浓度,炉膛第一烟道出口烟气温度,炉膛第一烟道入口烟气温度,活性炭喷射量,一次风机实际运行电流,二次风机实际运行电流,锅炉蒸汽量,二噁英排放浓度
2016-08-09 00:00:00,12558.155319213844,34879.09075927734,452.55462217330927,406.07870101928705,54.944442659616456,54903.617797851555,54742.92755126953,241.39017105102525,9057.453689575163,2279.604129791259,1197.8932819366435,0.00071657580180886
2016-08-09 01:00:00,12563.89724731444,34677.069946289055,458.5203661918639,410.75787067413324,49.60184988379477,54849.28057861328,54613.542297363274,241.3863291740416,9058.020950317357,2282.7082977294913,1196.3901424407939,0.000732155785139251
2016-08-09 02:00:00,12585.20989990233,34776.83148193359,449.89120483398426,404.73009252548206,547.9166633188719,55372.125305175774,54732.72894287109,241.408595561981,9040.179367065404,2283.9409561157213,1209.0866870880102,0.00118376965591016
2016-08-09 03:00:00,12424.40666198729,34731.718811035156,454.46898221969593,406.3657460212707,149.51851883530585,54949.00012207031,55816.44726562499,241.40747022628773,9003.333374023408,2281.8680496215807,1209.0491790771457,0.000725597279856629
2016-08-09 04:00:00,12502.637557983375,34491.16894531249,438.2023172378539,390.3023147583007,93.68055489659298,54750.72119140625,56359.16003417969,241.3882484436034,9026.423675537084,2270.9860916137686,1206.824337005613,0.000631858929139099
2016-08-09 05:00:00,12583.331680297832,34340.73034667969,449.6689777374267,400.26481246948237,49.69907289743422,54450.59063720703,56961.27716064453,241.43966579437244,9041.886581420871,2270.4964904785143,1208.5522289276096,0.000566531389551976
2016-08-09 06:00:00,12639.487838745097,34838.336547851555,429.6481461524963,384.6666650772094,40.93518310785293,54897.033325195305,55740.62475585937,241.40138435363755,9059.73965454099,2274.1006813049307,1225.765937805174,0.00068634964056884
2016-08-09 07:00:00,12590.504135131818,35606.7720336914,462.48425102233875,418.6893491744994,77.90277606248846,55971.995239257805,55241.736572265625,241.3882517814635,9047.52319335935,2279.2499732971182,1243.3305377960176,0.000701612570263963
2016-08-09 08:00:00,12636.207412719708,35241.556274414055,450.14768362045265,406.34443807601923,111.80092072486846,54964.085388183594,56016.29107666015,241.34323549270616,9061.684051513645,2281.9374732971182,1213.9976406097387,0.00067037416292003
2016-08-09 09:00:00,12635.89407348631,35405.93261718749,483.90555572509754,440.3337969779967,116.89351785182929,55189.103637695305,56381.713134765625,241.38889694213847,9004.745285034156,2277.5867729187,1226.650594711302,0.0006554100797568
2016-08-09 10:00:00,12603.105041503888,34991.62683105468,484.6912035942077,441.3976850509643,680.9861136674872,54850.1118774414,56160.643310546875,241.38119792938218,9070.677078247043,2272.618049621581,1200.9081420898415,0.0011972097350654
2016-08-09 11:00:00,12569.861114501931,34888.75677490234,458.86573886871327,416.1476883888244,113.67592620849585,54978.18725585937,57652.09692382811,241.40971517562855,9203.246536254861,2261.7604064941397,1214.3540191650368,0.000531830114005291
2016-08-09 12:00:00,12514.18519592283,34998.37768554687,495.7828745841977,454.45971822738636,109.44906759262054,54731.09967041015,55947.33728027344,241.3791179656981,9114.502334594707,2265.7985992431627,1208.0271835327128,0.000691375537257763
2016-08-09 13:00:00,12545.466369628879,34848.12774658203,501.4027848243711,459.96295595169056,87.5509254038332,54621.044738769524,56009.26190185546,241.33667612075791,9118.778869628875,2262.121505737304,1197.2351589202863,0.000643396568095142
2016-08-09 14:00:00,12577.303207397435,35004.485656738274,523.7949061393737,477.6925897598266,377.24536913633307,54570.12689208984,55581.42694091796,241.34932327270496,9159.334442138646,2257.552108764647,1220.6422977447487,0.00107606530908633
2016-08-09 15:00:00,12608.670516967759,35052.79833984374,488.7287049293516,444.2833366394041,55.43055486679073,54743.07312011719,53942.58398437499,241.36293792724592,9049.982543945285,2257.4965400695783,1235.480304718015,0.0010083546703941
2016-08-09 16:00:00,12857.792098999005,35100.66302490234,536.7875037193297,489.35462570190424,45.06481587886809,54117.280822753906,57149.6323852539,241.31857156753526,10226.840408325173,2257.7777862548814,1244.6748294830304,0.000682437159158354
2016-08-09 17:00:00,12902.324188232404,33518.11352539062,634.1337957382182,595.703238010405,233.4999999999999,54227.506103515625,55180.57391357421,241.35605049133287,10406.012741088847,2265.6388702392564,1090.6295146942114,0.000666726613909654
2016-08-09 18:00:00,13092.091949462874,32794.80578613281,544.7166585922238,507.50925922393793,303.2592571377749,57444.32446289062,56367.36877441405,241.3906497955321,10422.436325073222,2265.4548454284654,1094.2879905700659,0.000538593278584608
2016-08-09 19:00:00,13127.589889526336,34093.9634399414,529.1305460929867,488.3402800559997,98.5555539131163,57280.901794433594,56700.1982421875,241.38456964492786,10225.387725830058,2268.1110992431627,1189.3898963928198,0.000395766876788196
2016-08-09 20:00:00,13074.083572387666,34741.96313476562,525.6879591941832,489.7875018119811,114.53240907192207,55091.46923828124,57560.44281005859,241.3751230239867,9425.59602355955,2278.624961853026,1212.8238182067848,0.000539223452682188
2016-08-09 21:00:00,12897.547164916965,35342.86267089843,522.7925920486449,487.50046491622913,120.49073684215524,56427.08709716796,56098.68823242187,241.37671375274647,9354.577514648412,2289.180530548095,1222.3357582092265,0.000565896592738415
2016-08-09 22:00:00,12892.282943725566,34796.03259277344,511.98935174942005,476.94120073318476,215.70833289623224,55467.37731933593,54474.0029296875,241.3600564002989,9842.569412231423,2287.0763473510733,1190.260963439939,0.0
2016-08-09 23:00:00,12703.888885498032,35180.410949707024,499.3967518806456,464.38842058181757,510.1666735410686,56320.4946899414,54661.08892822265,241.34483861923206,9096.1920623779,2292.895824432372,1214.1728553771943,0.00107002425668199
2016-08-10 00:00:00,12528.715332031234,34853.239074707024,481.76573657989496,448.3347220420836,124.15277636051157,56314.07897949219,56206.82586669921,241.35156631469712,9047.274246215798,2287.2846908569327,1214.8714504241916,0.000556681255012184
2016-08-10 01:00:00,12111.756774902327,35366.701477050774,464.0370326042174,428.0805459022521,91.47685271501524,57633.50976562499,57571.343078613274,241.38312625884993,9014.120330810521,2282.166633605956,1225.414451599119,0.000359682406937571
2016-08-10 02:00:00,11877.137786865216,34976.933227539055,450.9148135185241,414.29768419265736,43.10648104548452,56661.49499511718,57170.47271728515,241.36918640136705,9246.782348632792,2279.145809173583,1182.4043445587133,0.000316567234674466
2016-08-10 03:00:00,12107.477401733371,35023.46606445312,431.19305229187006,394.33564758300764,52.01388853788373,56571.60021972656,55387.16748046875,241.35268878936756,9099.404006957984,2276.940948486327,1203.4419403076151,0.000493384308175136
2016-08-10 04:00:00,12425.737854003883,34631.180969238274,476.8027830123901,436.99120283126825,44.240739107131944,56146.1294555664,56130.79907226562,241.3406801223754,9369.54283142087,2278.982582092284,1217.2839298248266,0.000504953065001735
2016-08-10 05:00:00,12529.647933959934,34823.47088623046,468.73148632049555,428.35416746139515,65.36111193895336,56152.640747070305,53670.720764160156,241.41420125961292,9223.553253173804,2282.232624053954,1209.747117996213,0.000744172270262285
2016-08-10 06:00:00,12561.400756835912,35006.351684570305,496.0805563926696,457.077311515808,49.078705728054,56667.77557373047,55923.95581054687,241.40779399871812,9067.158462524387,2282.302070617675,1218.3253231048561,0.000481244516449132
2016-08-10 07:00:00,12634.502685546851,35018.208801269524,474.7569437026977,436.129162788391,58.9166659414768,56805.66589355469,56235.81799316406,241.40683031082142,9219.878494262668,2278.4305381774884,1219.7970046997048,0.000458610599252014
2016-08-10 08:00:00,12756.248657226542,34951.58880615234,489.27175045013405,451.29259395599354,46.84722277522082,55794.09704589844,55517.58972167968,241.36197280883778,9010.740768432594,2273.1701164245596,1214.71389198303,0.000584280439516762
2016-08-10 09:00:00,12869.495498657203,34168.53155517578,465.29537391662586,427.016664981842,60.93981695175162,52796.050109863274,54078.877075195305,241.37799692153916,9651.209411621068,2258.4340209960924,1161.085609436033,0.000971845279976649
2016-08-10 10:00:00,12898.268005371072,34886.680969238274,447.91574335098255,409.59445190429676,270.80555573105767,54338.24639892578,55436.27001953125,241.38104057312,9068.55320739743,2261.76735305786,1218.4744224548317,0.000988657747949163
2016-08-10 11:00:00,12705.629699707013,35393.89813232422,461.10926866531366,422.4564785957336,58.38425758481024,55366.46258544922,55556.537902832024,241.33346700668324,8871.631896972629,2261.6180305480943,1244.2773303985568,0.000726205486941535
2016-08-10 12:00:00,12623.127182006818,35143.205322265625,472.18055582046503,433.65370178222645,676.9212850630277,54629.728637695305,56276.050842285156,241.2894163131713,8855.104187011691,2258.6736183166495,1215.6882209777812,0.00123599426727382
2016-08-10 13:00:00,12411.338073730447,34844.19189453125,477.9791684150695,438.140284538269,92.90740752220141,54179.754821777344,57254.93975830078,241.3736753463744,8965.619232177713,2253.836833953856,1203.3540039062475,0.00058595460781594
2016-08-10 14:00:00,12461.504074096665,35107.25024414062,484.23842906951893,445.47083187103266,143.8518505096433,54750.12243652343,57499.56256103515,241.27211093902574,8945.653900146459,2251.423625946044,1219.7398128509506,0.00060582209777992
2016-08-10 15:00:00,12575.9782104492,35153.39886474609,459.25093364715565,420.87638664245594,118.67129540443396,54895.48736572265,57157.37615966796,241.25962018966666,8979.432891845678,2248.9201812744127,1227.1603870391818,0.000615383347546227
2016-08-10 16:00:00,12684.930526733384,34788.5288696289,462.2870416641235,423.07824802398676,107.44444072246525,55428.24157714843,56773.4677734375,241.3618173599242,8994.178253173803,2245.5312690734854,1219.4044685363742,0.000577837063271757
2016-08-10 17:00:00,12781.166976928696,35197.89923095703,493.9791703224179,456.3115735054014,118.89351630210848,56370.43377685546,57566.0073852539,241.3655023574828,8999.21873474119,2256.1909713745104,1245.0831680297827,0.000511098835617796
2016-08-10 18:00:00,12797.147613525367,35080.27136230468,492.22268438339194,454.349534988403,263.1064856052395,55983.62139892578,54691.59143066406,241.31889104843125,9044.612304687476,2254.7361068725577,1231.1695594787577,0.000919924231703745
2016-08-10 19:00:00,12764.78842163084,35055.01257324219,514.8870410919187,477.744439125061,123.01388752460454,55970.3257446289,55538.835754394524,241.43437957763658,9087.98037719724,2258.4930496215807,1226.685342788694,0.000678751733783155
2016-08-10 20:00:00,12821.29199218748,34915.29479980468,531.8796310424801,493.68935060501076,118.12036979198432,55257.017395019524,55133.858520507805,241.32530164718617,9505.954940795875,2258.4201126098615,1198.136251449583,0.000703704494116195
2016-08-10 21:00:00,12903.981719970674,34529.25903320312,511.2740736007688,472.924078941345,128.95369732379876,54981.874633789055,55618.48596191406,241.35108470916737,9298.90629577634,2269.857608795165,1185.8389148712133,0.000662119805307729
2016-08-10 22:00:00,12816.431945800767,34558.28607177734,496.9574074745176,457.09675645828236,628.9351837635033,55030.41357421874,56562.61297607422,241.3310613632201,9226.215225219701,2269.767318725585,1189.6867752075168,0.00110167589381926
2016-08-10 23:00:00,12867.295837402326,34954.53656005859,492.0791702270507,449.53657817840565,129.5555527210231,55756.569152832024,53902.73638916015,241.34388017654405,9042.337951660125,2271.3402709960933,1211.2344856262184,0.000836287490870744
2016-08-11 00:00:00,12862.978347778298,34952.96435546874,478.79629707336403,436.9111108779906,122.41203391551946,56427.613037109375,57978.30749511719,241.39289522171006,9010.642364501924,2268.32289123535,1232.6676959991428,0.000458487399210248
2016-08-11 01:00:00,12815.031890869122,34947.030883789055,482.27730941772444,439.08009195327753,121.34259259700748,56081.61242675781,58096.16973876953,241.36454439163194,9034.23031616209,2264.3541603088365,1219.6207466125459,0.000445641410230921
2016-08-11 02:00:00,12888.688430786107,34928.41253662109,465.9837937355041,421.94583272933954,283.64814889430954,56288.55249023437,54920.909790039055,241.3224163055419,9006.874984741184,2267.2291603088365,1239.3896255493137,0.000906212388982728
2016-08-11 03:00:00,11987.41886901853,32477.25067138671,433.3930535316467,393.6527748107909,113.43981587886785,52215.92419433593,50923.51800537109,225.24151563644392,8284.288192749,2079.6735877990714,1151.4650897979716,0.000811203864719572
2016-08-11 04:00:00,12887.150177001937,34671.48382568359,492.0050878524778,446.34582996368397,108.49999487400031,55564.61590576172,54127.231384277344,241.34756422042832,9066.215301513654,2267.888881683349,1219.5019340515112,0.000852087273221661
2016-08-11 05:00:00,12912.809524536113,34516.935852050774,513.5972175598141,467.86898803710926,128.5416594743726,55434.46582031249,54636.70458984375,241.41643619537342,9057.557846069312,2269.3784523010245,1210.9543457031225,0.000801799452091775
2016-08-11 06:00:00,12989.922851562484,34931.90649414062,476.85647249221773,431.7944421768188,107.83796024322486,55984.823669433594,53056.35028076171,241.33570909500114,9076.1168670654,2273.329849243163,1226.51302719116,0.000955785585030079
2016-08-11 07:00:00,12917.73941040037,35242.058410644524,496.3319416046142,447.4916605949401,86.64814996719348,55903.27197265624,52518.17254638671,241.33234977722157,9026.192092895477,2273.7360954284654,1228.6954936981183,0.001031539013859
2016-08-11 08:00:00,12856.45199584959,35312.36315917968,461.7606472969053,410.2731432914733,40.91203787922858,56907.23284912109,56349.14569091797,241.36726760864244,9007.685104370088,2265.9444351196275,1241.9829921722387,0.000473022007751287
2016-08-11 09:00:00,12808.847000122048,35077.99798583984,491.4986133575438,441.14583015441883,63.888895213603945,56259.86907958984,55565.87133789062,241.37848472595206,8939.890075683566,2263.7465248107897,1214.6728630065895,0.000549900990954014
2016-08-11 10:00:00,12631.942367553693,35000.360168457024,486.45879936218256,438.3824086189269,621.976854801177,56475.15747070312,56550.00482177734,241.35445451736436,8975.127365112277,2262.5659675598135,1212.769727706907,0.0
