,时间,值
119,2015-12-08 23:00:00,0.00325315885183265
120,2015-12-09 00:00:00,0.0040188334592768295
121,2015-12-09 01:00:00,0.0031790159036063
122,2015-12-09 02:00:00,0.00553123517340113
123,2015-12-09 03:00:00,0.00224599303127238
124,2015-12-09 04:00:00,0.00343743512644565
125,2015-12-09 05:00:00,0.00233698836991186
126,2015-12-09 06:00:00,0.00269586882066213
127,2015-12-09 07:00:00,0.00212833408464005
128,2015-12-09 08:00:00,0.00559980386837519
129,2015-12-09 09:00:00,0.00565894163433887
130,2015-12-09 10:00:00,0.0303176321521935
131,2015-12-09 11:00:00,0.00889301237006783
132,2015-12-09 12:00:00,0.0338317211267443
133,2015-12-09 13:00:00,0.0140904123083264
134,2015-12-09 14:00:00,0.0106991068472051
135,2015-12-09 15:00:00,0.0105525262084927
136,2015-12-09 16:00:00,0.0116989606689218
137,2015-12-09 17:00:00,0.0119513612346938
138,2015-12-09 18:00:00,0.0797270812067697
139,2015-12-09 19:00:00,0.0156707099722722
140,2015-12-09 20:00:00,0.0
141,2015-12-09 21:00:00,0.0
142,2015-12-09 22:00:00,0.0
143,2015-12-09 23:00:00,0.0
144,2015-12-10 00:00:00,0.0
145,2015-12-10 01:00:00,0.0
146,2015-12-10 02:00:00,0.0
147,2015-12-10 03:00:00,0.0
148,2015-12-10 04:00:00,0.0
149,2015-12-10 05:00:00,0.0
150,2015-12-10 06:00:00,0.0
151,2015-12-10 07:00:00,0.0
152,2015-12-10 08:00:00,0.0
153,2015-12-10 09:00:00,0.0
154,2015-12-10 10:00:00,0.0
155,2015-12-10 11:00:00,0.0
156,2015-12-10 12:00:00,0.0388408082908664
157,2015-12-10 13:00:00,0.0260918723472468
158,2015-12-10 14:00:00,0.0167271183326893
159,2015-12-10 15:00:00,0.0162519499453336
160,2015-12-10 16:00:00,0.0116867041997295
161,2015-12-10 17:00:00,0.00963172457337831
162,2015-12-10 18:00:00,0.04761276354365401
163,2015-12-10 19:00:00,0.0232080896228141
164,2015-12-10 20:00:00,0.0479539070832481
165,2015-12-10 21:00:00,0.0191510235497058
166,2015-12-10 22:00:00,0.0545496912519046
167,2015-12-10 23:00:00,0.0182917252378579
168,2015-12-11 00:00:00,0.0144036291300793
169,2015-12-11 01:00:00,0.011228314791023
170,2015-12-11 02:00:00,0.0607266355735176
171,2015-12-11 03:00:00,0.0138199626413086
172,2015-12-11 04:00:00,0.0128402409253115
173,2015-12-11 05:00:00,0.0103793929606308
174,2015-12-11 06:00:00,0.0440512597438621
175,2015-12-11 07:00:00,0.0183189351942345
176,2015-12-11 08:00:00,0.0362480088974748
177,2015-12-11 09:00:00,0.0
178,2015-12-11 10:00:00,0.0
179,2015-12-11 11:00:00,0.0
180,2015-12-11 12:00:00,0.0
181,2015-12-11 13:00:00,0.0
182,2015-12-11 14:00:00,0.0
183,2015-12-11 15:00:00,0.0229284063206622
184,2015-12-11 16:00:00,0.0387538741487723
185,2015-12-11 17:00:00,0.0271143802575303
186,2015-12-11 18:00:00,0.0643106581085371
187,2015-12-11 19:00:00,0.0175739312811784
188,2015-12-11 20:00:00,0.0278939940420982
189,2015-12-11 21:00:00,0.034347675466414
190,2015-12-11 22:00:00,0.0459199167742685
191,2015-12-11 23:00:00,0.0419455220051869
192,2015-12-12 00:00:00,0.0198010120068804
193,2015-12-12 01:00:00,0.0171740638936589
194,2015-12-12 02:00:00,0.0729877896469096
195,2015-12-12 03:00:00,0.021071424502413002
196,2015-12-12 04:00:00,0.056109591289886
197,2015-12-12 05:00:00,0.0239653586248956
198,2015-12-12 06:00:00,0.022897066534804
199,2015-12-12 07:00:00,0.0155478089806325
200,2015-12-12 08:00:00,0.0284656670747704
201,2015-12-12 09:00:00,0.0378976202969855
202,2015-12-12 10:00:00,0.0518896767912901
203,2015-12-12 11:00:00,0.0199827960029483
204,2015-12-12 12:00:00,0.0778597055179135
205,2015-12-12 13:00:00,0.029909694724332
206,2015-12-12 14:00:00,0.0612719495416601
207,2015-12-12 15:00:00,0.0418138998207965
208,2015-12-12 16:00:00,0.0340967399248105
209,2015-12-12 17:00:00,0.0206225347062234
210,2015-12-12 18:00:00,0.0812080618613348
211,2015-12-12 19:00:00,0.0175445785574733
212,2015-12-12 20:00:00,0.0232939328545856
213,2015-12-12 21:00:00,0.0191618038025915
214,2015-12-12 22:00:00,0.0170719022781241
215,2015-12-12 23:00:00,0.0165222292324083
216,2015-12-13 00:00:00,0.0131920297117962
217,2015-12-13 01:00:00,0.015741129084653
218,2015-12-13 02:00:00,0.0143199280320978
219,2015-12-13 03:00:00,0.0165764244938272
220,2015-12-13 04:00:00,0.0294402940070792
221,2015-12-13 05:00:00,0.015397885060693
222,2015-12-13 06:00:00,0.0376423774821859
223,2015-12-13 07:00:00,0.0207219444330634
224,2015-12-13 08:00:00,0.0462156477252613
225,2015-12-13 09:00:00,0.0416774311038165
226,2015-12-13 10:00:00,0.0429358224024941
227,2015-12-13 11:00:00,0.0329358686178328
228,2015-12-13 12:00:00,0.0526068776161187
229,2015-12-13 13:00:00,0.0323241568862902
230,2015-12-13 14:00:00,0.036688104561362
