时间,尾部烟道进口烟气温度,炉尾部烟道出口烟气温度,炉膛出口O2浓度1,炉膛出口O2浓度2,CO的浓度,炉膛第一烟道出口烟气温度,炉膛第一烟道入口烟气温度,活性炭喷射量,一次风机实际运行电流,二次风机实际运行电流,锅炉蒸汽量,二噁英排放浓度
2016-04-15 02:00:00,1205.923812866208,3115.038879394528,46.989814758300746,44.92083311080929,30.93981409072865,5567.7222900390625,5540.10314941406,24.13808965682981,1009.5833282470669,245.5868034362791,123.96468544006309,0.0312037963002782
2016-04-15 03:00:00,1208.5208892822232,3039.7570800781227,47.055092334747286,44.89166736602781,20.79629576206204,5483.606811523437,5716.71301269531,24.14481544494626,1014.218734741208,245.43402862548808,120.048961639404,0.0203327971234459
2016-04-15 04:00:00,1216.1940917968711,3078.410491943357,46.1148142814636,44.012497901916475,21.527777194976792,5514.924316406247,5478.227416992187,24.149461269378637,1012.0138854980447,245.00347518920879,120.0527153015134,0.0207758487281957
2016-04-15 05:00:00,1223.9651184082002,3039.516174316404,47.16759204864499,46.16898107528683,22.25926041603086,5435.4514770507785,5429.693725585937,24.128476142883283,1012.6793975830052,246.45139694213842,117.34996414184542,0.0211583225607766
2016-04-15 06:00:00,1230.5141906738252,3106.687561035156,44.45000076293943,42.680555343627894,20.217592954635588,5492.233764648435,5628.291748046871,24.146256923675512,1011.5509185790993,246.08332824707009,121.3161563873288,0.018355379083321997
2016-04-15 07:00:00,1225.8981933593711,3092.8569641113268,46.191668510436976,44.60740709304807,18.6249997615814,5557.7210083007785,5714.470642089841,24.150423526763877,1013.9988555908168,246.78819274902318,122.27335357665991,0.0174603623840993
2016-04-15 08:00:00,1218.996627807614,3082.337982177733,47.09259319305417,45.594906330108614,19.62963008880612,5549.969726562499,5762.240905761715,24.152824878692602,1004.0393218994113,245.9097213745115,120.69594573974591,0.0186265922954945
2016-04-15 09:00:00,1223.598846435545,3066.4540710449187,43.740742206573465,41.94305562973021,24.04166483879087,5497.623474121093,5680.781494140622,24.12847852706906,995.8391113281219,245.0104141235349,120.27968597412091,0.0215705941212552
2016-04-15 10:00:00,1216.242004394529,3118.144653320312,46.12546443939206,44.68564891815182,41.2870368957519,5584.385009765622,5736.065551757812,24.14017009735105,1035.5092468261698,243.19096755981442,123.9967060089109,0.0390811019698964
2016-04-15 11:00:00,1199.370956420896,3115.0382995605437,45.893057346343966,43.51250076293943,11.393519103527046,5601.264282226562,5442.051208496092,24.132642269134497,986.342590332029,241.85763549804645,122.0131626129147,0.0124858270170154
2016-04-15 12:00:00,1203.2566528320278,3102.1166076660134,45.65092611312864,43.70231485366818,24.51388823986042,5608.366088867187,5417.673400878905,24.14321422576901,998.0266265869127,240.56596755981425,122.80217552185042,0.0249284007515714
2016-04-15 13:00:00,1200.319610595702,3108.5635986328093,46.19490814208982,44.124074935913065,20.560184895992226,5639.215759277343,5501.142028808593,24.14673757553098,1005.162048339842,240.13541412353496,123.50651931762671,0.0213169573226279
2016-04-15 14:00:00,1196.595031738278,3122.921264648434,45.550461769104,43.540740966796854,27.28240704536431,5610.54357910156,5655.607604980468,24.14818048477171,997.9687499999968,240.2534713745115,123.4074001312253,0.0276585645868017
2016-04-15 15:00:00,1182.788253784178,3119.433959960935,45.77453660964965,44.021759986877434,9.023148119449582,5643.171874999997,5648.284423828122,24.12479162216184,931.041671752926,241.4097175598142,123.23232078552219,0.0103859672766499
2016-04-15 16:00:00,1180.071670532224,3123.1553955078093,44.67685317993161,43.01481342315672,13.310185313224759,5637.615966796872,5730.427734374996,24.14065027236936,933.541656494137,241.7499961853025,123.29137039184549,0.0146113329771115
2016-04-15 17:00:00,1185.030242919919,3068.711273193357,44.680091857910135,43.16018581390378,17.902778029441798,5579.9534301757785,5649.8175659179615,24.134403228759734,930.7002105712869,241.65625381469707,120.4219264984128,0.0187925174832775
2016-04-15 18:00:00,1186.56604003906,3065.45584106445,47.2643504142761,45.31249999999997,31.31018614768979,5538.751220703124,5388.64575195312,24.144656181335417,955.0694580078099,241.99652862548808,119.2949848175046,0.0330584301001089
2016-04-15 19:00:00,1188.6176147460922,3115.918029785154,45.746296405792215,43.32870244979858,16.055555224418598,5624.720947265622,5523.964599609372,24.137288093566863,930.462951660154,242.0694427490231,122.02407264709448,0.0172290824377353
2016-04-15 20:00:00,1191.1990661621069,3080.9297180175768,47.90509223937986,45.90787029266357,23.43981289863584,5562.6990356445285,5553.429626464843,24.13744926452634,968.2002410888648,240.9791641235349,119.89117431640592,0.0245922988439887
2016-04-15 21:00:00,1204.902206420895,3033.89074707031,51.455554962158175,49.32777786254881,23.05555415153501,5477.456726074216,5695.257202148434,24.127356529235808,970.8391113281219,241.6909675598142,116.9888534545895,0.0231865269063918
2016-04-15 22:00:00,1197.11486816406,3047.9570617675763,47.59953880310055,45.50509119033811,27.833332777023283,5529.027770996091,5671.104736328125,24.1403303146362,962.210617065427,241.10416030883758,117.7297363281247,0.027573067677133
2016-04-15 23:00:00,1213.444839477535,3056.9577026367156,45.85046386718748,43.68518543243405,20.935184955596892,5513.087585449218,5469.249389648437,24.12879562377927,1000.8796234130832,240.64235687255834,117.76654624938931,0.0199468683685574
2016-04-16 00:00:00,1203.3933258056607,3123.6528320312486,43.84490728378295,42.19583559036253,18.726851701736415,5655.535522460937,5378.348327636717,24.12062788009641,929.351867675779,240.6909713745116,122.32005310058571,0.0190346572793533
2016-04-16 01:00:00,1204.630416870114,3128.136901855467,45.7273139953613,43.96388912200924,15.95833289623259,5663.564147949218,5269.220336914062,24.13456392288205,965.3645935058572,240.2187499999997,122.28830718994112,0.0169993941890617
